"TARGET_deathRate","incidenceRate","medIncome","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","BirthRate"
175.1,459.6,75539,7.1,43.7,2.63,57.5,5.615292712
188.8,410.4,37543,25.5,32.1,2.49,36.1,7.608005083
172.1,437,61792,10.5,37.1,3.03,49.7,4.855936413
150.1,373.7,91886,7.2,34,3.17,55,6.857756326
185.8,390.6,46186,14.7,45.2,2.3,53.5,6.174957118
149.6,401.1,62800,9.3,49.1,2.26,63.9,5.182481752
176.2,452.4,42204,19.7,43.7,2.47,46.6,8.755129959
155.9,400.5,61935,8.2,43.5,2.4,55.7,5.404491669
159.2,338,48497,13,48.3,2.39,55,6.476146578
156.1,400.2,55798,11.7,41.5,2.57,57,4.834403227
212,365.4,37378,17.9,43.8,2.51,54,3.255738239
196.1,330.8,36290,20.8,45.4,2.34,57.6,2.248441674
171.4,407.6,45430,12,43.8,2.47,55.6,7.406593407
202.4,389.1,37831,19.7,44.3,2.43,51.7,6.188734455
181.8,405.7,46521,15.3,45.4,2.53,48.3,5.455508475
172.5,449.4,75714,9.2,36.7,2.97,56,6.051314143
175.6,450.5,92647,5.9,34.7,3.08,57.4,4.970818505
182.2,426.5,48707,12.9,47.5,2.56,53.2,4.897660819
208.4,486.9,37748,23.9,38.5,2.08,32,3.682946357
208.1,376.4,38292,19.2,43.1,2.38,53.9,6.033920417
202.5,428.2,60714,11.3,40.4,2.62,51.2,5.544668588
176.7,420.8,43353,14.5,44.7,2.35,53.9,5.091597145
179.9,450.9,48232,15,46.6,2.51,47.6,3.666942377
223.4,367.3,38528,21.9,39.8,2.46,47.5,3.651138835
175.9,433.5,41132,15.6,43.6,2.44,53.7,2.933713923
152.3,389.3,81169,5.5,39.5,2.73,61.5,4.925163106
135.4,317.6,86419,9.6,36,2.21,44.1,6.214827502
226.6,265.7,34099,21.8,41.8,2.22,46.2,3.86837478
240.8,578.2,38331,17.2,33.8,2.26,48.1,11.88769415
178.2,718.9,45890,25.9,29.8,0.0239,30.1,2.753790712
182.2,458.3,66625,9.8,36.5,2.75,52.5,5.746827092
159.3,493.6,52355,11.5,40,2.44,47.4,3.664122137
207.4,539,33646,23.6,41.8,2.2,38.7,3.236583838
137.6,447.7,125635,3.2,37.7,2.57,55.3,3.066180935
221.7,468,38583,22.5,38,2.41,34.9,4.927099045
180.3,566.3,51195,16.8,29.4,2.46,33.7,4.269052202
190.3,491.9,47615,15.2,35.4,2.51,41,4.72938218
150.5,591.1,38541,28.3,23.5,2.69,28.7,2.564793362
244.9,547.6,40122,19.5,36.9,2.53,35.3,5.969289827
194.5,495,40065,25,28.7,2.37,35.6,5.96087761
155.2,364.1,72510,9.8,33.3,3.27,53.3,6.93416809
191.9,457.2,48440,16.7,32.8,2.5,41.1,5.236698785
193.6,480.5,42567,23.4,30,2.53,34.1,6.373340936
197.3,461,31620,21.6,39.3,2.21,43.1,3.938223938
224.4,651.3,32749,25.8,39.5,2.44,29.5,4.372408594
159.2,441.3,84213,5.9,43.8,2.59,60.3,4.361370717
218.1,473.2,43045,18.3,34.9,2.54,37.8,5.954956101
193.1,463.1,34267,32.4,22.3,2.57,25.3,1.039129729
200.2,475.4,42074,25,32.9,2.33,26.2,4.888983425
201.2,512.4,40735,20.4,38,2.29,38.7,6.673085779
186.6,511.5,54195,10.2,40.5,2.29,47.3,4.609250399
176.1,537.9,42552,16.5,42.3,2.21,43.6,3.909798832
199.3,472,60735,13.6,38.3,2.75,50.4,5.719705952
168.1,435.6,67676,8.6,35,2.63,50.1,5.841796248
210.5,596.9,44843,14.6,38.5,2.32,47.9,7.446377985
192.8,401.9,44537,13.4,37,2.47,41.3,6.642835865
135.7,340.3,47423,19,28.9,3.24,56.9,9.861143799
188.3,371.3,44055,16.3,44.2,2.34,52.7,3.801794105
163.9,452.4,58750,14.6,35.5,2.72,53.5,6.253360451
154.7,451.5,49174,14,39.3,2.7,52.3,4.217134885
181.3,480.2,47185,16.2,50.1,2.27,50.5,5.956137583
178.2,427.4,61747,9.9,37.4,2.71,52.7,5.742215991
194.4,476.2,45465,15.5,49.5,2.31,52.4,5.205479452
184.1,455.5,44235,20.6,41.2,2.54,51.1,6.298743004
157.4,449.9,51151,15.5,37,2.76,58.1,4.643274854
161.1,358.2,39992,22.4,47.7,2.39,48.2,4.978354978
163.5,420.9,55006,17.3,29.1,3.4,49.2,8.388253538
115,293.6,46404,14.2,49.8,2.3,61.9,13.55498721
173.1,417.9,50388,15.8,32.2,3,52.3,6.92564347
194.6,518.4,43205,19.6,42.7,2.51,47.5,5.713875529
143.5,462,59358,10.3,44,2.33,59.1,6.113924051
154.9,480.9,50964,14.1,55.6,2.18,53.7,5.305574211
152.7,464.2,75738,11.3,37.2,2.45,49.5,5.202119227
170.7,414.6,38989,19.9,39,2.46,45,5.803003309
203.8,464.3,34655,24.5,46.4,2.28,51.6,3.935222672
